Fellow	Year	Citation
James Glass	2014	For contributions to probabilistic segment-based speech recognition and spoken dialogue interfaces 
Sonja Glavaski	2020	For leadership in energy systems 
Manfred Glesner	2000	For contributions to the development of microelectronic system design and education in microelectronics. 
Allen Glisson	2002	For contributions to the development of numerical solution methods in electromagnetic scattering by complex surfaces. 
Robert Glorioso	1988	For leadership in the development of high-performance minicomputers. 
Fred Glover	2013	For contributions to computer based optimization 
Ernst Gockenbach	2001	For contributions to the development of digital measuring and monitoring technique. 
Brendan Godfrey	2000	For leadership in generation and application of intense charged-particle beams, and in numerical simulation of beams and plasmas. 
Edward Godshalk	2020	For development of microwave on-wafer probing and measurement techniques 
Dan Goebel	1999	For advancements in plasma sources and technology for pulsed-power switches and microwave sources. 
Dennis Goeckel	2011	For contributions to wireless communication systems and networks 
Lalit Goel	2013	For contributions to the development and application of reliability techniques in electric power systems 
James Goell	1979	For technical contributions and leadership in the fields of optical fibers, integrated optical circuits, and millimeter waveguides. 
Kenneth Goff	1979	For technical contributions to and leadership in the design and development of hardware and software for digital computer-based process-control systems. 
Sivaprasad Gogineni	1999	For development of innovative research radars and radar studies of polar sea and glacial ice. 
Izzet Goknar	2005	For contributions to the analysis, simulation and synthesis of nonlinear networks. 
Steven Gold	1996	For research in high power, coherent radiation sources including millimeter-wave free-electron lasers, gyrotrons, cyclotron autoresonance masers, and the magnicon. 
Robert Goldberg	2002	For contributions to military test and measurement equipment. 
Kenneth Goldberg	2005	For contributions to networked telerobotics and geometric algorithms for automation. 
Marc Goldburg	2010	For leadership in the development and commercialization of spectrally efficient wireless communications systems. 
Andrew Goldenberg	1996	For contributions to theory of robot control and development of advanced flexible automation systems for industrial applications. 
Ron Goldfarb	2004	For contributions to magnetic metrology for the characterization of superconductors. 
Dmitry Goldgof	2007	For contributions to computer vision and biomedical applications 
Charles Goldsmith	2010	For development of micro-electromechanical capacitive switches 
Andrea Goldsmith	2005	For contributions to the development of adaptive techniques and the analysis of fundamental capacity limits for wireless communication systems. 
E Goldstein	1974	For leadership in the development of communication facilities for military and civilian applications. 
J Scott Goldstein	2001	For contributions to adaptive Wiener filter theory and its application to radar and communications. 
Aniruddha Gole	2010	For contributions to the modeling of power electronics apparatus 
S Jamaloddin Golestani	2000	For contributions to the theory of congestion control and provision of fairness and guaranteed services in packet networks. 
J Michael Golio	1996	For contributions to the characterization, parameter extraction, and modeling of microwave transistors. 
Nada Golmie	2022	For contributions to wireless technologies and standards 
Forouzan Golshani	2004	For contributions to the field of multimedia information systems. 
Sergiu Goma	2024	For contributions to hardware implementation of image processing for color cameras in mobile phones 
Antonio Gomez-Exposito	2005	For contributions to power system analysis and operation. 
Fernando Gomide	2016	For contributions to fuzzy systems 
Oriol Gomis Bellmunt	2021	For contributions to grid integration of renewable energy sources 
Yifan Gong	2021	For leadership in creating cloud speech recognition services in industry 
Guang Gong	2014	For contributions to sequences and cryptography applied to communications and security 
Maoguo Gong	2024	For contributions to collaborative learning and optimization 
Yihong Gong	2018	For contributions to pattern recognition and multimedia content analysis 
Cesar Gonzales	2001	For contributions to MPEG encoding algorithms and leadership in their use. 
R C Gonzalez	1984	For contributions to the theory and application of pattern recognition and digital image processing. 
