Fellow,Year,Country,University,Citation
Michael Henderson,2016,United States,"University of California, Berkeley",For contributions to the application of high-voltage DC and flexible AC transmission systems 
Joerg Henkel,2015,Germany,Karlsruhe Institute of Technology,For contributions to hardware/software codesign of embedded computing systems 
Gene Henneberg,2024,United States,University of Texas at Austin,For contributions to electric power system integrity protection schemes 
Deukhyoun Heo,2024,United States,Washington State University,For contributions to CMOS power amplifiers in multi-layer packages and reconfigurable reactive components 
Jeffrey Herd,2018,United States,Massachusetts Institute of Technology,For leadership in the development of low-cost phased array technology 
Enrique Herrera-Viedma,2021,Spain,University of Granada,For contributions to fuzzy decision systems and linguistic modeling 
Mark Hersam,2016,United States,Northwestern University,For contributions to carbon nanomaterial processing methods and devices 
Alan Hevner,2020,United States,University of South Florida,For contributions to design science and software engineering 
Laura Heyderman,2017,Switzerland,ETH Zurich,For contributions to nanoimprint lithography and nanostructured magnetic systems and devices 
Michael Heyeck,2024,United States,American Electric Power,For contributions to development of advanced high-voltage power system technology 
Hideto Hidaka,2017,Japan,"Hitachi, Ltd.",For leadership in high-density memory technologies for automotive applications 
Christopher Hierold,2017,Switzerland,ETH Zurich,For contributions to microelectromechanical sensors and microthermoelectric energy harvesting 
Masataka Higashiwaki,2023,Japan,National Institute of Information and Communications Technology,For contributions to gallium oxide electronics and millimeter-wave gallium nitride transistors 
Marko Hinkkanen,2023,Finland,Aalto University,For contributions to sensorless control of industrial motor drives 
Yoshihito Hirano,2018,Japan,Kyoto University,For leadership in the development of 1.5-micron wind sensing lidar 
Akimasa Hirata,2017,Japan,Nagoya Institute of Technology,For contributions to safety assessment and standardization of human exposure to electromagnetic fields 
Julia Hirschberg,2017,United States,Columbia University,For contributions to text-to-speech synthesis and spoken language understanding 
Daniel Hissel,2022,France,University of Franche-Comté,For contributions to the development of hydrogen-energy systems and their industrial applications 
Takashi Hiyama,2024,Japan,Kumamoto University,For contributions to intelligent power systems 
Wing C Daniel Ho,2017,Hong Kong,City University of Hong Kong,For contributions to stability and control for stochastic systems 
Pin-Han Ho,2019,Canada,University of Waterloo,For contributions to failure restoration in optical backbone networks 
Stephen Hodges,2021,United Kingdom,University of Cambridge,For leadership in pervasive computing systems 
Gary Hoffman,2015,United States,"University of California, Los Angeles",For leadership in the advancement of monitoring systems for power transformers and power line protection 
Heath Hofmann,2022,United States,University of Michigan,For contributions to electric machinery and drive systems 
Markus Hofmann,2020,USA,Bell Labs (Nokia Bell Labs),For leadership in development of content distribution networks 
Steven Chu-Hong Hoi,2019,Singapore,Singapore Management University,For contributions to machine learning for multimedia information retrieval and scalable data analytics 
Daesik Hong,2020,South Korea,Yonsei University,For contributions to wireless and cellular communication technologies 
Keum-Shik Hong,2019,South Korea,Pusan National University,For contributions to adaptive estimation and brain-computer interface techniques 
Yiguang Hong,2017,China,Shanghai Jiao Tong University,For contributions to nonsmooth control and distributed multi-agent control 
Wonbin Hong,2023,South Korea,POSTECH (Pohang University of Science and Technology),For contributions to millimeter-wave mobile and base station antennas 
ChoongSeon Hong,2024,South Korea,Kyung Hee University,For contributions to resource management in wireless networks 
Ahmad Hoorfar,2023,USA,Temple University,For contributions to sensing and imaging in stratified media and optimization in electromagnetics 
Hugues Hoppe,2017,USA,Microsoft Research,For contributions to surface modeling and large-scale image processing 
Mahbub Hoque,2017,Bangladesh,Bangladesh University of Engineering and Technology,For leadership in developing innovative antennas and advanced tactical communication technologies 
Mark Horenstein,2016,United States,Boston University,For contributions to the modeling and measurements of electrostatics in industrial processes 
Toshikazu Hori,2015,Japan,Nagoya University,For contributions to broadband antennas for cellular and satellite communications 
Atsushi Hori,2023,Japan,RIKEN,For contributions to the development and manufacture of  low-power CMOS for digital consumer appliances 
Tzyy-Sheng Horng,2016,Taiwan,National Sun Yat-sen University,For contributions to system-in-package modeling and design 
Ray-Hua Horng,2015,Taiwan,National Yang Ming Chiao Tung University,For contributions to high brightness light emitting diodes 
David Horsley,2022,United States,"University of California, Davis",For development of micro-electromechanical systems for ultrasonic transduction 
John Hossack,2015,United States,University of Virginia,For contributions in ultrasound imaging and drug delivery 
Ekram Hossain,2015,Canada,University of Manitoba,For contributions to spectrum management and resource allocation in cognitive and cellular radio networks 
Zeng-Guang Hou,2019,China,"Institute of Automation, Chinese Academy of Sciences",For contributions to neural network optimization and control for rehabilitation 
